1e20		4.5395973452544425e-8
12589.25	4.5395973452544425e-8
11885.04	5.2997860960912746e-8
11220.19	6.209990631445006e-8
10592.56	7.276333501005094e-8
10000.	8.532170313324539e-8
9440.606	1.0010334186572045e-7
8912.53	1.1751315850960786e-7
8413.95	1.3802772574900146e-7
7943.284	1.62210070098201e-7
7498.942	1.9072786673623998e-7
7079.457	2.2437013749709855e-7
6683.455	2.6407248951421103e-7
6309.586	3.1094615554616567e-7
5956.636	3.663041782120402e-7
5623.426	4.317099738526675e-7
5308.843	5.089861495055636e-7
5011.873	6.003430527978804e-7
4731.512	7.083793164552876e-7
4466.837	8.361527313316408e-7
4216.965	9.873210914945751e-7
3981.071	1.1662123385325351e-6
3758.375	1.3779678180447785e-6
3548.141	1.6286666822129536e-6
3349.663	1.925566158578196e-6
3162.285	2.277230074676506e-6
2985.382	2.6939646535772965e-6
2818.396	3.1875777455891985e-6
2660.725	3.77272857532418e-6
2511.887	4.466392706847788e-6
2371.374	5.288855221885491e-6
2238.721	6.264239075626232e-6
2113.489	7.421005534413716e-6
1995.262	8.793168325083034e-6
1883.65	0.00001042118027499983
1778.279	0.000012353140843524013
1678.808	0.00001464596260469797
1584.893	0.000017367873786144905
1496.235	0.00002059914805929708
1412.538	0.00002443434706900227
1333.521	0.00002898907852544319
1258.929	0.00003440261425124991
1188.502	0.000040826957370398986
1122.018	0.00004846603900221513
1059.254	0.000057539969579689654
1000.	0.00006832351313623697
944.0607	0.00008111638446772762
891.253	0.00009641537697535618
841.3969	0.00011445773245066793
794.3284	0.0001359490515595585
749.8942	0.00016160145874533072
707.9456	0.00019202487713898542
668.344	0.0002282279753842431
630.9573	0.0002712832516913455
595.6623	0.0003224976365849841
562.3413	0.0003834219295950625
530.8843	0.00045589632297926563
501.1873	0.0005421153390026134
473.1523	0.0006446805556008517
446.6847	0.0007666958871002105
421.6965	0.0009118368588987291
398.1071	0.0010844782971752842
375.8391	0.0012897452888327443
354.8134	0.0015338296590376999
334.9655	0.0018239413394627313
316.2278	0.002168653116205288
298.5382	0.002578061219340899
281.8383	0.00306400092241077
266.0725	0.0036405296704171697
251.1887	0.004323898020699435
237.1374	0.0051331737933044685
223.8727	0.0060906706749399575
211.3489	0.007222127285310798
199.5262	0.008557023596227786
188.3658	0.01012940518960459
177.8279	0.011978602640417613
167.8804	0.014148157518585336
158.4893	0.016687670504107466
149.6236	0.01965195584539181
141.2538	0.023100791115602703
133.3521	0.027100853878322617
125.8925	0.03172508104746807
118.8505	0.03704051152649068
112.2021	0.04313044762968232
105.9254	0.05006783680477511
100.	0.057920947755347285
94.40609	0.06676161436075212
89.12511	0.07664312726473277
84.1395	0.08760526920763567
79.43282	0.09966648259410427
74.98942	0.11281888918241556
70.79458	0.12702237032021202
66.8344	0.14219971109836216
63.09573	0.15823278342640812
59.56636	0.17495913857905343
56.23413	0.19217601503130943
53.08845	0.20963518311493168
50.11873	0.2270561920912293
47.31512	0.24413125822501414
44.66836	0.2605374869430115
42.16965	0.2759517622754295
39.81072	0.29006565541512686
37.58374	0.3026015088522733
35.48133	0.31332675800274146
33.49654	0.3220650675554211
31.62278	0.3287029409137112
29.85389	0.333190304743777
28.18383	0.33553517575877123
26.60725	0.33579029180055286
25.11886	0.33403941848151675
23.71374	0.33037735167010496
22.38721	0.3248929197554453
21.13489	0.31765884175202785
19.95262	0.30872592282143785
18.83649	0.29812895042172727
17.78279	0.2859038954487616
16.78804	0.2721128339367027
15.84893	0.25687250073456624
14.96235	0.24038368019251521
14.12541	0.2229498172045652
13.33521	0.20498754640848205
12.58925	0.18703810693044431
11.88502	0.16969567480951753
11.22018	0.15364953373686774
10.59254	0.13955009224602577
10.	0.12806736725042267
8.912509	0.11492022821163772
7.943287	0.11764182425257275
7.079464	0.1379522062781291
6.309576	0.17731075075950287
5.623413	0.23810350001481595
5.011872	0.3248877467396838
4.466839	0.4451267840384645
3.981072	0.6094630846578042
3.548136	0.8319736664130346
3.162278	1.129743569059471
2.818383	1.5233817158242147
2.511888	2.033332838537248
2.371377	2.3390843626510502
2.238722	2.681095937599366
2.113489	3.061589550163262
1.995263	3.481627024105819
1.88365	3.941695672416529
1.778279	4.4413535398716135
1.678806	4.979166963826685
1.584893	5.5528028650704755
1.496236	6.158974569999145
1.412538	6.793884317551942
1.333521	7.45358961455554
1.258927	8.134545147182166
1.188502	8.835023159488742
1.122019	9.555641885214982
1.059254	10.301078375502811
1.	11.081309021578932
0.9440617	11.912173119865656
0.891251	12.815941104951321
0.8413955	13.820206567333685
0.7943284	14.95567273590325
0.7498942	16.252505051541334
0.7079459	17.735618647545834
0.6683444	19.420857605903166
0.6309577	21.313208339608877
0.5956623	23.409537164117523
0.5623413	25.696552423670028
0.5308846	28.17063602400708
0.5011872	30.840795415925186
0.4731517	33.740688413693306
0.4466837	36.932717847805634
0.4216965	40.50768436521116
0.3981073	44.60731089219303
0.3758374	49.39887500031591
0.3548135	55.07012772051053
0.3349657	61.82540677039651
0.3162279	69.85624401444238
0.2985383	79.31876325337316
0.2818383	90.31942354354624
0.2660725	102.94544550785508
0.2511887	117.39478663756609
0.2371376	134.27497758998902
0.2238722	155.08607452288493
0.2113489	182.66242886123428
0.1995262	220.7513891993765
0.1883649	271.22165635990086
0.1778279	328.42230722074714
0.1678806	375.3746904043019
