1.00000000e+20 1.06830133e+02
1.25892500e+04 1.06830133e+02
1.18850400e+04 1.06830099e+02
1.12201900e+04 1.06830061e+02
1.05925600e+04 1.06830018e+02
1.00000000e+04 1.06829972e+02
9.44060600e+03 1.06829920e+02
8.91253000e+03 1.06829863e+02
8.41395000e+03 1.06829799e+02
7.94328400e+03 1.06829729e+02
7.49894200e+03 1.06829651e+02
7.07945700e+03 1.06829564e+02
6.68345500e+03 1.06829467e+02
6.30958600e+03 1.06829360e+02
5.95663600e+03 1.06829241e+02
5.62342600e+03 1.06829108e+02
5.30884300e+03 1.06828961e+02
5.01187300e+03 1.06828797e+02
4.73151200e+03 1.06828614e+02
4.46683700e+03 1.06828410e+02
4.21696500e+03 1.06828183e+02
3.98107100e+03 1.06827930e+02
3.75837500e+03 1.06827647e+02
3.54814100e+03 1.06827332e+02
3.34966300e+03 1.06826981e+02
3.16228500e+03 1.06826588e+02
2.98538200e+03 1.06826150e+02
2.81839600e+03 1.06825660e+02
2.66072500e+03 1.06825113e+02
2.51188700e+03 1.06824502e+02
2.37137400e+03 1.06823819e+02
2.23872100e+03 1.06823055e+02
2.11348900e+03 1.06822201e+02
1.99526200e+03 1.06821245e+02
1.88365000e+03 1.06820177e+02
1.77827900e+03 1.06818981e+02
1.67880800e+03 1.06817642e+02
1.58489300e+03 1.06816144e+02
1.49623500e+03 1.06814466e+02
1.41253800e+03 1.06812587e+02
1.33352100e+03 1.06810484e+02
1.25892900e+03 1.06808127e+02
1.18850200e+03 1.06805486e+02
1.12201800e+03 1.06802528e+02
1.05925400e+03 1.06799212e+02
1.00000000e+03 1.06795495e+02
9.44060700e+02 1.06791329e+02
8.91253000e+02 1.06786658e+02
8.41396900e+02 1.06781416e+02
7.94328400e+02 1.06775544e+02
7.49894200e+02 1.06768954e+02
7.07945600e+02 1.06761562e+02
6.68344000e+02 1.06753268e+02
6.30957300e+02 1.06743961e+02
5.95662300e+02 1.06733517e+02
5.62341300e+02 1.06721794e+02
5.30884300e+02 1.06708637e+02
5.01187300e+02 1.06693866e+02
4.73152300e+02 1.06677285e+02
4.46684700e+02 1.06658669e+02
4.21696500e+02 1.06637767e+02
3.98107100e+02 1.06614298e+02
3.75839100e+02 1.06587951e+02
3.54813400e+02 1.06558365e+02
3.34965500e+02 1.06525152e+02
